hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
7e15a8922637,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.048,
827fdd16584e,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,42,6,0,2,0,6,0,0,0,0,75.841,
74b0b492671b,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.03,
b4f9f3a18fd8,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.041,
d7f6720005a5,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.02,
69623fc10eab,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.02,
b1863133139a,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.02,
cb76440ba750,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.021,
b845eb1f0167,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.009,
289eeed680db,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.02,
7cc708f07759,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.004,
a8c6da25293a,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.028,
d0ae011b269b,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.021,
764eb320fd07,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,294,6,0,2,0,6,0,0,0,0,62.75,
7f6aa6c59e0e,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.029,
bab710094bc0,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.017,
69178e83f993,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.018,
e8d1b200366d,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,42,2,0,6,0,2,0,0,0,0,11.15,
77d2e8abc1e8,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.013,
e4a14a3b8698,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.016,
62c4c4c61674,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.021,
18786243f8d9,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,42,2,0,6,0,2,0,0,0,0,10.13,
